iter,pose_x,pose_y,pose_z,xd_x,xd_y,xd_z,F_x,F_y,F_z,tau0,tau1,tau2
931,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
936,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
941,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
946,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
951,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
956,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
961,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
966,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
971,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
976,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
981,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
986,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
991,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
996,0.315887,-0.000046,-0.080933,0.315994,-0.000031,-0.080994,0.053406,0.007629,-0.029144,0.002411,0.005585,0.011353
